Date,Open,High,Low,Close,Adj Close,Volume,DayN,Year,Month,Date,Day
26/05/2020,5722.569824,5899.629883,5722.569824,5874.629883,5874.629883,33434800,101,2020,5,26,1
27/05/2020,5874.629883,5958.540039,5829.370117,5902.25,5902.25,57932700,102,2020,5,27,2
28/05/2020,5903.560059,5954.299805,5866.790039,5933.640137,5933.640137,46788400,103,2020,5,28,3
29/05/2020,5933.5,5933.5,5832.810059,5888.549805,5888.549805,201509300,104,2020,5,29,4
01/06/2020,5903.279785,5998.609863,5903.279785,5993.850098,5993.850098,27996900,105,2020,6,1,0
02/06/2020,6003.129883,6076.990234,5998.379883,6042.419922,6042.419922,40558700,106,2020,6,2,1
03/06/2020,6043.089844,6226.399902,6043.089844,6224.319824,6224.319824,43062900,107,2020,6,3,2
04/06/2020,6224.319824,6261.370117,6170.509766,6239.509766,6239.509766,42963000,108,2020,6,4,3
05/06/2020,6239.350098,6360.899902,6239.350098,6358.899902,6358.899902,45325800,109,2020,6,5,4
08/06/2020,6359.209961,6361.390137,6265.939941,6293.600098,6293.600098,36910400,110,2020,6,8,0
09/06/2020,6294.25,6313.22998,6130.359863,6132.890137,6132.890137,43827100,111,2020,6,9,1
10/06/2020,6131.899902,6239.939941,6085.759766,6107.419922,6107.419922,31787700,112,2020,6,10,2
11/06/2020,6067.77002,6067.77002,5827.040039,5851.200195,5851.200195,41410400,113,2020,6,11,3
12/06/2020,5851.200195,5955.859863,5768.439941,5885.350098,5885.350098,27107800,114,2020,6,12,4
15/06/2020,5885.620117,5930.410156,5746.22998,5908.709961,5908.709961,31167900,115,2020,6,15,0
16/06/2020,5931.870117,6192.319824,5931.870117,6077.319824,6077.319824,37978200,116,2020,6,16,1
17/06/2020,6078,6193.649902,6068.080078,6118.549805,6118.549805,40265000,117,2020,6,17,2
18/06/2020,6120.970215,6207.350098,6051.77002,6175.759766,6175.759766,33359000,118,2020,6,18,3
19/06/2020,6175.759766,6231,6149.279785,6174.680176,6174.680176,49039000,119,2020,6,19,4
22/06/2020,6174.379883,6193.240234,6101.830078,6134.990234,6134.990234,32285500,120,2020,6,22,0
23/06/2020,6130.629883,6223.410156,6100.720215,6177.330078,6177.330078,29234100,121,2020,6,23,1
24/06/2020,6166.430176,6241.899902,5993.850098,5999.560059,5999.560059,27060600,122,2020,6,24,2
25/06/2020,6001.009766,6001.009766,5875.149902,5976.339844,5976.339844,58974200,123,2020,6,25,3
26/06/2020,5969.75,5969.75,5969.75,5969.75,5969.75,0,124,2020,6,26,4
29/06/2020,5970.430176,6048.819824,5948.830078,6030.379883,6030.379883,51114300,125,2020,6,29,0
30/06/2020,6030.25,6030.25,5908.740234,5973.899902,5973.899902,29529500,126,2020,6,30,1
01/07/2020,5974.799805,6013.970215,5901.379883,5991.589844,5991.589844,18531200,127,2020,7,1,2
02/07/2020,5993.859863,6131.700195,5993.859863,6097.25,6097.25,31060400,128,2020,7,2,3
03/07/2020,6096.450195,6128.870117,6018.720215,6030.060059,6030.060059,16819700,129,2020,7,3,4
06/07/2020,6046.72998,6157.660156,6046.72998,6128.549805,6128.549805,19350900,130,2020,7,6,0
07/07/2020,6128.620117,6160.52002,6080.180176,6141.689941,6141.689941,16326600,131,2020,7,7,1
08/07/2020,6142.419922,6145.330078,6031.060059,6038.759766,6038.759766,18524700,132,2020,7,8,2
09/07/2020,6044.299805,6088.410156,5961.600098,5972.939941,5972.939941,21194100,133,2020,7,9,3
10/07/2020,5969.919922,6053.870117,5934.140137,6053.419922,6053.419922,21271200,134,2020,7,10,4
13/07/2020,6054.47998,6133.899902,6048.879883,6094.720215,6094.720215,17369500,135,2020,7,13,0
14/07/2020,6094.720215,6094.720215,5980.5,6090.140137,6090.140137,22061500,136,2020,7,14,1
15/07/2020,6091.180176,6288.930176,6091.180176,6264.189941,6264.189941,23353100,137,2020,7,15,2
16/07/2020,6262.049805,6277.5,6182.060059,6261.810059,6261.810059,22030300,138,2020,7,16,3
17/07/2020,6261.810059,6268.830078,6206.220215,6221.25,6221.25,37383000,139,2020,7,17,4
20/07/2020,6220.970215,6265.72998,6163.319824,6265.72998,6265.72998,12371200,140,2020,7,20,0
21/07/2020,6266.25,6330.290039,6266.25,6303.669922,6303.669922,34069100,141,2020,7,21,1
22/07/2020,6312.5,6318.330078,6221.029785,6265.560059,6265.560059,46967800,142,2020,7,22,2
23/07/2020,6267.149902,6291.700195,6238.930176,6273.200195,6273.200195,21092200,143,2020,7,23,3
24/07/2020,6263.629883,6263.629883,6136.970215,6192.830078,6192.830078,14803500,144,2020,7,24,4
27/07/2020,6200.879883,6200.879883,6101.419922,6155.450195,6155.450195,19013400,145,2020,7,27,0
28/07/2020,6155.589844,6243.620117,6155.589844,6225.700195,6225.700195,18791700,146,2020,7,28,1
29/07/2020,6225.200195,6225.200195,6164.089844,6220.640137,6220.640137,15351900,147,2020,7,29,2
30/07/2020,6219.660156,6238.890137,6060.799805,6139,6139,21774200,148,2020,7,30,3
31/07/2020,6139,6209.390137,6091.540039,6099.589844,6099.589844,27019800,149,2020,7,31,4
